EmpID,Salary,Perf_Score_ID,Performance_Score,Engagement_Survey,Emp_Satisfaction,Special_Projects_Count,Absences
10026,62506,4,Exceeds,4.6,5,0,1
10084,104437,3,Fully Meets,4.96,3,6,17
10196,64955,3,Fully Meets,3.02,3,0,3
10088,64991,3,Fully Meets,4.84,5,0,15
10069,50825,3,Fully Meets,5,4,0,2
10002,57568,4,Exceeds,5,5,0,15
10194,95660,3,Fully Meets,3.04,3,4,19
10062,59365,3,Fully Meets,5,4,0,19
10114,47837,3,Fully Meets,4.46,3,0,4
10250,50178,3,Fully Meets,5,5,6,16
10252,54670,3,Fully Meets,4.2,4,0,12
10242,47211,3,Fully Meets,4.2,3,0,15
10012,92328,4,Exceeds,4.28,4,5,9
10265,58709,3,Fully Meets,4.6,4,0,7
10066,52505,3,Fully Meets,5,5,0,1
10061,57834,3,Fully Meets,5,4,0,20
10023,70131,4,Exceeds,4.4,3,0,16
10055,59026,3,Fully Meets,5,5,0,12
10245,110000,3,Fully Meets,4.5,4,5,8
10277,53250,3,Fully Meets,4.2,4,0,13
10046,51044,3,Fully Meets,5,3,0,13
10226,64919,3,Fully Meets,4.2,3,0,2
10003,62910,4,Exceeds,5,3,0,19
10294,66441,2,Needs Improvement,2,3,0,3
10267,57815,3,Fully Meets,4.8,5,0,5
10199,103613,3,Fully Meets,3.5,5,7,2
10081,106367,3,Fully Meets,5,4,3,4
10175,74312,3,Fully Meets,3.39,3,0,14
10177,53492,3,Fully Meets,3.35,4,0,6
10238,63000,3,Fully Meets,4.5,2,6,14
10184,65288,3,Fully Meets,3.19,3,0,9
10203,64375,3,Fully Meets,3.5,5,0,17
10188,74326,3,Fully Meets,3.14,5,0,19
10107,63763,3,Fully Meets,4.51,4,0,3
10181,62162,3,Fully Meets,3.25,5,0,15
10150,77692,3,Fully Meets,3.84,3,5,4
10001,72640,4,Exceeds,5,3,0,14
10085,93396,3,Fully Meets,4.96,4,6,3
10115,52846,3,Fully Meets,4.43,3,0,14
10082,100031,3,Fully Meets,5,5,6,7
10040,71860,3,Fully Meets,5,5,0,7
10067,61656,3,Fully Meets,5,4,0,11
10108,110929,3,Fully Meets,4.5,5,7,8
10210,54237,3,Fully Meets,3.3,4,0,11
10154,60380,3,Fully Meets,3.8,5,0,4
10200,66808,3,Fully Meets,3,5,0,17
10240,64786,3,Fully Meets,4.3,4,0,3
10168,64816,3,Fully Meets,3.58,5,0,3
10220,68678,3,Fully Meets,4.7,3,6,2
10275,64066,3,Fully Meets,4.2,5,0,9
10269,59369,3,Fully Meets,4.2,4,0,6
10029,50373,4,Exceeds,4.1,4,0,5
10261,63108,3,Fully Meets,4.4,5,0,3
10292,59144,2,Needs Improvement,2,3,0,16
10282,68051,2,Needs Improvement,4.13,2,0,3
10019,170500,4,Exceeds,3.7,5,0,15
10094,63381,3,Fully Meets,4.73,5,0,6
10193,83552,3,Fully Meets,3.04,3,6,2
10132,56149,3,Fully Meets,4.12,5,0,15
10083,92329,3,Fully Meets,5,3,4,5
10099,65729,3,Fully Meets,4.62,4,0,8
