EmpID,Emp_Status_ID,Date_of_Hire,Date_of_Termination,Term_Reason,Days_Late_Last_30,From_Diversity_JobFairID
10026,1,07-05-2011,,N/A-StillEmployed,0,0
10084,5,3/30/2015,6/16/2016,career change,0,0
10196,5,07-05-2011,9/24/2012,hours,0,0
10088,1,01-07-2008,,N/A-StillEmployed,0,0
10069,5,07-11-2011,09-06-2016,return to school,0,0
10002,1,01-09-2012,,N/A-StillEmployed,0,0
10194,1,11-10-2014,,N/A-StillEmployed,0,0
10062,1,9/30/2013,,N/A-StillEmployed,0,0
10114,3,07-06-2009,,N/A-StillEmployed,0,1
10250,1,01-05-2015,,N/A-StillEmployed,0,0
10252,5,01-10-2011,01-12-2017,Another position,0,1
10242,5,04-02-2012,9/19/2016,unhappy,0,1
10012,1,11-10-2014,,N/A-StillEmployed,0,1
10265,1,2/20/2012,,N/A-StillEmployed,0,0
10066,5,9/24/2012,04-06-2017,Another position,0,0
10061,4,2/21/2011,08-04-2017,attendance,0,0
10023,2,7/21/2016,,N/A-StillEmployed,0,0
10055,1,04-04-2011,,N/A-StillEmployed,0,0
10245,4,07-07-2014,09-12-2015,performance,0,0
10277,3,07-08-2013,,N/A-StillEmployed,0,0
10046,1,04-02-2012,,N/A-StillEmployed,0,0
10226,1,8/19/2013,,N/A-StillEmployed,0,0
10003,1,07-07-2014,,N/A-StillEmployed,0,0
10294,1,04-04-2011,,N/A-StillEmployed,2,0
10267,5,01-10-2011,04-04-2014,career change,0,0
10199,4,2/17/2014,2/19/2016,Learned that he is a gangster,0,0
10081,1,2/16/2015,,N/A-StillEmployed,0,1
10175,5,9/30/2013,08-07-2014,retiring,0,0
10177,5,04-02-2012,6/15/2013,Another position,0,0
10238,1,10/27/2008,,N/A-StillEmployed,0,1
10184,1,9/29/2014,,N/A-StillEmployed,0,0
10203,3,11-11-2013,,N/A-StillEmployed,0,1
10188,5,8/15/2011,08-02-2014,Another position,1,0
10107,1,03-05-2012,,N/A-StillEmployed,0,0
10181,1,04-04-2011,,N/A-StillEmployed,0,0
10150,1,8/15/2011,,N/A-StillEmployed,0,0
10001,1,1/28/2016,,N/A-StillEmployed,0,0
10085,1,11-11-2013,,N/A-StillEmployed,0,0
10115,1,3/31/2014,,N/A-StillEmployed,0,0
10082,2,6/30/2016,,N/A-StillEmployed,0,0
10040,1,8/18/2014,,N/A-StillEmployed,0,0
10067,1,9/29/2014,,N/A-StillEmployed,0,0
10108,1,09-06-2016,,N/A-StillEmployed,0,0
10210,1,05-12-2014,,N/A-StillEmployed,0,0
10154,1,07-08-2013,,N/A-StillEmployed,0,0
10200,1,5/14/2012,,N/A-StillEmployed,0,0
10240,5,6/27/2011,11/15/2015,relocation out of area,0,0
10168,1,10-03-2011,,N/A-StillEmployed,0,0
10220,1,09-05-2012,,N/A-StillEmployed,0,0
10275,5,5/16/2011,01-07-2013,unhappy,0,0
10269,5,8/30/2010,9/26/2011,career change,0,0
10029,2,07-06-2016,,N/A-StillEmployed,0,0
10261,1,07-08-2013,,N/A-StillEmployed,0,0
10292,4,07-11-2011,9/23/2016,performance,5,0
10282,1,7/20/2010,,N/A-StillEmployed,3,0
